身長,父親の身長,母親の身長
172,165,163
176,150,155
170,170,158
174,165,154
170,163,158
167,165,158
175,171,158
179,156,150
162,160,160
169,165,162
184,178,163
170,172,162
167,163,157
165,163,152
165,160,160
175,176,160
180,175,150
175,170,160
163,170,152
175,172,162
167,172,155
172,173,158
173,178,148
173,175,150
165,160,159
170,170,156
177,167,160
181,170,168
170,165,159
175,175,160
166,165,151
178,172,152
170,166,158
177,160,155
169,168,154
185,172,160
158,160,150
173,168,158
177,160,155
170,160,150
172,168,150
180,175,160
181,167,158
177,165,156
173,164,154
171,160,155
168,160,155
178,172,158
170,165,163
171,180,155
175,165,155
163,172,160
170,170,160
168,164,158
174,162,158
170,168,156
165,160,155
173,167,156
177,165,155
184,175,165
170,165,150
178,174,164
175,170,155
177,172,155
173,172,163
171,170,153
169,166,153
180,182,165
177,165,163
178,175,163
170,160,163
169,160,150
173,169,162
160,175,155
172,170,160
190,180,175
171,167,160
168,164,150
164,163,152
175,165,158
169,165,153
187,175,165
174,173,155
168,168,153
172,170,163
175,165,155
168,173,155
168,158,154
161,156,156
173,168,160
167,160,150
170,169,163
172,163,157
171,171,158
170,170,155
180,172,160
162,160,150
184,182,156
168,168,153
179,172,162
167,175,160
172,166,158
164,175,158
179,177,153
175,174,160
174,168,153
175,167,159
174,169,153
180,163,155
162,170,160
175,165,160
165,165,156
160,170,153
166,165,145
178,159,157
178,166,164
168,165,155
182,174,154
172,165,155
170,163,150
160,160,157
180,171,156
173,171,160
174,173,158
173,162,155
180,168,155
172,170,152
166,164,160
170,165,150
166,162,155
165,163,147
176,168,154
168,169,153
173,165,148
174,172,156
168,167,159
179,166,152
171,167,157
170,170,155
170,169,158
175,174,162
170,165,155
165,189,176
168,158,148
167,163,157
169,173,158
164,165,153
173,169,156
165,167,143
169,166,158
170,168,152
185,170,159
181,178,168
169,163,155
169,170,154
170,172,156
181,178,155
166,175,157
160,170,155
173,168,155
176,175,170
179,165,155
175,180,160
173,171,156
180,168,162
169,166,152
176,183,158
168,175,153
154,165,154
170,160,150
174,175,160
178,165,158
180,165,160
175,167,160
168,163,150
165,186,155
185,172,164
175,169,153
175,165,163
166,170,155
177,172,156
173,175,153
169,173,158
173,162,154
180,162,159
180,169,168
168,170,155
179,165,162
176,178,160
175,164,154
184,170,160
165,164,150
165,165,155
170,163,151
179,179,162
173,160,158
170,165,159
176,181,164
179,177,159
176,174,158
160,155,148
166,171,151
171,168,158
179,155,159
176,176,162
180,175,155
177,182,160
172,165,155
174,169,157
177,169,156
178,165,161
178,171,160
172,170,161
178,170,155
176,173,163
173,171,155
150,180,170
169,165,153
169,167,156
170,162,152
177,165,160
175,171,162
164,168,157
173,172,160
170,170,153
173,173,161
167,163,153
181,170,155
174,174,157
173,172,163
163,163,155
162,172,152
157,156,149
169,159,148
170,170,155
165,165,150
191,176,154
175,173,152
170,166,153
165,165,158
174,170,150
169,161,161
175,172,156
167,170,155
174,170,158
175,170,160
173,172,155
170,174,152
172,159,157
168,165,158
173,168,153
165,167,155
170,160,155
175,170,155
174,170,153
170,172,158
174,173,160
170,163,160
170,165,155
160,165,153
175,170,165
173,170,153
168,170,155
166,165,153
169,165,150
167,165,156
183,170,168
170,170,150
172,168,160
178,175,158
175,159,155
171,170,149
177,168,166
166,160,150
187,170,165
173,168,160
162,165,150
170,172,155
178,170,155
178,171,158
173,170,161
177,175,155
182,180,155
180,170,160
166,160,155
177,163,160
177,167,162
169,170,155
171,165,158
179,160,155
178,168,150
186,173,150
169,170,155
170,167,160
186,168,160
174,168,152
164,162,157
175,163,160
167,167,161
173,168,152
168,164,156
174,163,160
175,167,149
175,160,150
170,160,155
168,162,153
170,158,163
170,160,160
179,180,165
175,173,158
175,170,155
177,173,165
170,165,162
178,168,163
157,170,155
156,150,150
174,171,162
168,170,155
179,172,153
172,171,152
178,170,160
168,165,150
165,167,155
175,167,154
